id,normalized_total_spent_last_24_hours,normalized_merchant_fraud_risk,normalized_time_since_last_transaction,normalized_average_transaction,normalized_days_till_expiration,normalized_transaction_time,normalized_change_in_merchant_sales,Amount,Class
0,-1.034133845,-0.513680076,-0.508604693,-2.196178501,-0.108862958,-1.061008629,0.285154155,135.75,0
1,-1.265759551,0.07327929,1.311443586,-0.734940773,1.450278841,-0.801969386,0.860978154,1.98,0
2,2.240560126,-1.509744002,-0.689632426,-1.622658556,-1.434514451,-0.419166831,-1.36019318,24,0
3,-22.32205074,-22.20892648,-8.997418067,3.396521112,1.155982154,-0.7160386,3.832327638,212,0
4,-0.522512757,0.81919506,1.777105544,1.013635885,0.306739941,-0.06426399,0.32108437,19.99,0
5,-2.089682661,0.849492313,0.790108223,-0.590925467,0.434408367,-0.805684103,0.523183012,3.99,0
6,-2.647158204,1.763548392,0.490936849,1.541377437,-0.949784452,-0.336538438,-0.706230268,9.46,0
7,-0.4630152,0.32577193,-0.139411116,-0.90596587,0.959955945,-0.809819817,1.687780067,149.95,0
8,-1.386557134,-1.320988511,1.579036707,-3.062784171,-0.437193393,-0.095830087,0.373993105,154,0
9,0.97974056,-0.420226839,1.036644229,0.580934286,-1.175975734,-0.445575941,-0.505391954,100.78,0
10,-1.328526512,0.504178918,-0.991597743,-0.703982814,1.89493488,-1.505794612,1.375389006,41.25,0
11,-2.914146875,1.215781924,0.185085293,1.590748127,0.982111011,4.745966997,-0.661415647,121.49,0
12,1.814961513,0.133422806,-2.649906967,1.476191633,1.124959731,-0.651955243,0.852369192,135.58,0
13,-4.146756764,-4.473331302,1.088711843,-0.6732427,1.438658716,-1.748219595,-1.752452473,222,0
14,-0.760324762,0.150568163,1.109962691,-2.238164025,0.529394452,-1.297821465,0.711457176,4.13,0
15,1.133553056,0.138417676,-0.929561806,1.365165727,2.251721759,3.766851441,-0.405147499,60.2,0
16,0.122988445,0.892309987,0.70878603,0.729580046,-0.177168541,-1.128046236,0.464041581,12.31,0
17,-0.87483207,1.537751066,-1.397886043,-0.691690707,0.530026453,-0.346422345,0.170651391,17.99,0
18,-6.069807204,4.063475604,-2.202833397,1.034508523,-2.990861223,-1.075485354,-2.452415493,1.59,0
19,1.796035673,-0.355416911,-0.812415181,0.851163698,-0.512740986,-0.709853179,-0.3467125,99.99,0
20,-0.328122874,0.966427607,-0.245635959,-0.749303575,0.274063652,-0.551492952,0.490389277,10.86,0
21,-0.087909432,0.184093265,1.683910422,-0.837377636,-0.682605072,-0.669906883,-0.056222273,10,0
22,1.926843667,-1.131225952,-1.903832095,-0.56681968,-0.02838431,-0.028011718,-0.173973029,158,0
23,-0.55379535,1.682724769,0.720059305,2.637882522,2.011400486,0.184619631,1.648937467,3.14,0
24,1.762033904,-0.342214121,-0.345499526,1.649003079,-0.413549585,-0.237970355,-0.068045702,92.53,0
25,-0.578389991,1.374358924,0.354805052,-0.230042964,0.431813367,-0.233641377,0.337455228,1.98,0
26,-0.444484423,0.10060561,1.541686387,-0.464172997,0.553933501,-0.014619809,0.404132919,59.9,0
27,1.109021728,-0.241063573,1.340497774,0.897135905,-1.104519448,-0.028436548,-0.721100076,12.06,0
28,0.310062742,0.08534383,0.10343425,-1.822406055,-0.109905286,-1.344552653,0.506557787,15,0
29,-4.102966834,4.335988062,-2.61551109,0.021161781,-0.717096111,-1.045312759,-0.004482257,0.89,0
30,2.105534359,0.27963892,-1.884931523,1.211338185,0.811885494,-0.795546061,0.66563643,1,0
31,-0.88071594,0.859994291,1.645445383,-0.502002929,0.105825081,-0.92870872,0.562708867,1.79,0
32,2.085544188,0.028638916,-1.514119084,0.211549541,0.375983516,-0.775424566,0.227220372,1.29,0
33,1.131965524,0.294816125,0.735711838,1.328818082,-0.272139222,-0.153856215,-0.264656036,2,0
34,-3.853847786,4.083074645,-3.144620493,-2.265056913,0.549445559,-0.995352929,0.988167891,1.49,0
35,2.056576325,-1.876106222,-0.100006646,-1.608587476,-1.81356147,0.277344951,-1.849194884,84.86,0
36,-5.78907196,4.624681622,-2.961740634,1.065417122,-4.177681759,-1.015357296,-3.718770485,5.86,0
37,1.910920677,-2.117652549,-0.606506073,-1.52766419,-1.818182301,-0.248742553,-1.402945683,187.95,0
38,-0.403178049,1.086466976,1.395406281,-0.005039212,-0.022363495,-0.760986181,0.643317686,8.43,0
39,2.005532282,0.007086897,-3.652595482,-0.203742162,2.883710079,3.06387126,-0.407470731,12.31,0
40,-0.20405436,0.773671756,-0.508138386,-0.504529801,1.110236742,-0.889531071,0.892854716,2.67,0
41,-1.377400093,-0.557903271,1.981063367,-1.750624343,-1.013263822,1.221709213,1.131741262,309.24,0
42,-0.276743598,0.564914756,1.471999554,-0.64786134,0.806845502,0.431118256,0.537547759,1.99,0
43,0.917046477,-0.579855778,0.692600573,1.337422774,-0.785409262,0.253219924,-0.43615224,165,0
44,-0.019706209,1.222415675,-1.311654792,-0.390261306,2.277161395,-1.432620579,1.91616392,0.76,0
45,-0.179005514,0.491331545,0.166496574,-0.452867166,2.367098919,3.950118785,0.134701962,11.5,0
46,-1.886734977,1.109459583,0.895496119,0.712442997,0.095885118,0.741890981,-0.391480975,44.4,0
47,-0.346064046,0.372103834,0.314244111,-0.852783843,0.5283704,1.992838544,-0.487809405,28.75,0
48,-0.665015176,0.802685297,1.340358383,-1.499147925,0.695621427,0.526593402,0.776066218,0.77,0
49,1.575744587,-0.964181757,0.237938493,-1.44102816,-1.350485441,-0.764658173,-0.972583165,2.41,0
50,-0.391385794,1.186133346,1.805909571,1.847982875,0.462495614,0.02303615,0.662059388,7.68,0
51,1.214430037,0.279333045,0.40585705,1.209286744,-0.537559418,-1.181285511,0.149947204,7.5,0
52,1.259759082,0.204230671,0.498154862,0.626309161,-0.53464926,-1.005485662,0.019603638,1.98,0
53,-1.34500171,0.15441922,0.712303325,-1.726288495,-0.359851581,-0.130828803,-0.305975448,27.49,0
54,-3.230960545,4.623564353,-5.958902169,-0.333572455,-0.644290233,-2.973562623,-0.865517518,0.87,0
55,1.031292387,-0.745412587,0.351834506,0.509184052,-0.899065108,-0.004066939,-0.479636821,119,0
56,-0.83086511,2.04756394,-4.23957717,-0.940681655,3.863404031,3.665470012,-3.402143119,0.76,0
57,-1.599721433,1.954313077,-1.088383129,-0.583405826,-0.591959935,-1.286989789,-0.071721181,8.99,0
58,-2.46158966,2.781348745,-2.380125095,-1.324429956,-0.133225638,-1.70473701,0.443335009,0.92,0
59,1.989524981,-0.790085735,-2.236905248,-0.388092376,0.136382734,-1.009541592,0.485423264,139.57,0
60,0.082844009,-0.687741112,2.334239709,-0.809154213,-1.59638602,0.56528544,-1.139198992,10,0
61,-1.150805958,1.051107817,0.876372099,-0.581739902,-0.034600782,0.008329934,0.67511904,79.95,0
62,-0.648104497,0.065857128,1.6462319,-1.72642266,-0.226466564,-0.813355443,0.177375612,4.4,0
63,1.269486667,-0.264243529,0.441684821,0.715880708,-0.607789629,-0.128328778,-0.31038776,12,0
64,1.055049134,-0.305057254,1.319824958,0.91882481,-1.106686224,-0.018616016,-0.659558022,39.99,0
65,1.977254768,-1.168793018,-0.803982832,-0.386043888,-0.758479134,0.231142023,-0.912843281,89.99,0
66,1.775272194,-0.036848836,-1.864865539,1.045156325,1.2763557,0.716897837,0.449467159,60,0
67,2.117182909,-0.032180047,-1.36855929,0.234394652,0.267089906,-0.772198049,0.200812905,0.99,0
68,-1.763288523,2.57630184,-2.953342948,-0.587648294,0.476405296,-1.554267344,0.312832438,12.33,0
69,1.126962535,0.148727176,0.256801706,0.486262273,-0.01481527,0.173761157,-0.230230782,0.99,0
70,-1.979918247,-5.849499571,-1.000495446,-0.154424858,-2.542383489,0.912340776,1.196547336,1619.1,0
71,-5.710765537,5.191886738,-4.694849241,-0.870528401,-2.149155934,-0.573180019,-2.791490366,23.98,0
72,-0.130567832,-1.633025744,-1.993371592,1.637221974,0.030964435,-1.292180243,2.252950391,740.66,0
73,2.004139543,-0.01316651,-3.305384249,0.130349699,3.070057764,3.039947919,0.207803754,32.14,0
74,-1.946162013,1.367577877,0.704235725,-1.371434362,-3.90E-05,-0.042854513,0.423107633,16.57,0
